Key,Price
KRW/UAH,924.19
GTQ/UYU,801.51
SEK/PGK,476.00
EUR/SCR,809.93
PYG/TOP,591.30
SEK/GIP,187.69
DJF/AOA,24.16
BZD/GNF,10.06
GHS/CAD,119.33
CHF/PKR,798.73
NPR/TND,470.46
DJF/KMF,343.65
UAH/JOD,326.43
MGA/SVC,776.37
AWG/AFN,453.12
INR/HRK,331.15
HKD/XBD,179.39
LAK/PLN,335.49
JPY/PEN,452.36
GYD/UYU,267.85
CNY/SYP,51.78
CNY/GBP,570.42
MVR/XFU,857.39
THB/EUR,835.66
XCD/ISK,669.88
SBD/TMT,969.64
MZN/PHP,490.62
ILS/CHF,539.30
JOD/UAH,610.56
MRO/ETB,509.49
KPW/MXN,391.81
BDT/BAM,591.22
VEF/QAR,303.45
PLN/LKR,864.58
KWD/SDG,962.40
TJS/GTQ,557.97
XCD/XBD,96.17
SZL/ILS,390.15
YER/OMR,592.03
UAH/TZS,506.60
NGN/BTN,162.54
MAD/BND,417.76
MZN/MKD,786.07
MUR/HRK,563.84
JPY/SOS,627.22
XOF/VND,241.31
TND/TRY,980.98
SBD/NIO,8.63
HKD/QAR,268.18
XPT/LSL,756.28
ZWL/KYD,418.39
NIO/RWF,573.14
ETB/BMD,419.83
LTL/PHP,15.33
SBD/CRC,728.42
SVC/NOK,353.77
BZD/TMT,944.12
CDF/LSL,640.34
BYR/VUV,140.06
NZD/MVR,621.66
FKP/GIP,697.07
GTQ/XPT,484.86
KHR/SZL,399.50
CRC/OMR,609.84
LRD/INR,406.92
MNT/GYD,879.23
XBC/CUP,40.19
KHR/ZAR,461.86
KPW/AUD,813.97
XDR/NOK,895.15
MNT/JMD,234.98
BDT/XAF,789.25
TND/UYU,743.47
CZK/MZN,945.76
SGD/BRL,105.31
RUB/GTQ,634.02
BRL/SVC,784.35
PYG/CHF,293.54
BSD/LBP,208.44
SOS/XPT,428.56
QAR/IQD,988.66
HUF/HTG,481.99
XDR/XBD,271.12
MYR/USD,854.28
MVR/CAD,91.10
NIO/KHR,818.67
NPR/MOP,171.39
LYD/RWF,288.12
HUF/SRD,136.16
XPD/XPT,608.63
BTN/TTD,613.85
MWK/KYD,455.83
LSL/EEK,250.09
DJF/RSD,970.37
MRO/XBD,809.53
ZAR/ISK,677.68
DJF/ZWL,18.26
GYD/DKK,176.23
VEF/MDL,156.92
UZS/SBD,747.99
NIO/VND,201.12
MMK/AUD,519.12
MWK/BMD,194.66
LKR/IDR,373.03
INR/PAB,521.30
MVR/BOB,629.15
RUB/NIO,829.68
RON/KHR,474.07
LTL/THB,910.02
MRO/SBD,94.40
CAD/JPY,569.42
CLP/KYD,650.58
XCD/LTL,431.90
KWD/LAK,711.49
NPR/GNF,633.00
SZL/XAG,215.08
UGX/XPF,213.74
SGD/SEK,545.23
ERN/EGP,518.74
ETB/KHR,588.26
PLN/JPY,707.84
XOF/ERN,752.07
EEK/TOP,325.70
PKR/TND,205.34
XCD/SDG,281.30
TTD/SDG,779.15
HKD/CNY,539.16
MZN/XAF,773.10
PEN/ZMK,136.23
MAD/JOD,427.63
CUP/SVC,615.76
SVC/UGX,608.12
PLN/ANG,136.62
JPY/IDR,460.45
XBC/DJF,227.44
IDR/SDG,469.54
QAR/EUR,287.33
PYG/MNT,898.09
EEK/NGN,332.98
TRY/IRR,461.95
CAD/AMD,988.99
BMD/USD,697.31
FJD/ZMK,378.10
BBD/DOP,41.76
YER/EUR,39.21
YER/SDG,963.27
WST/KYD,23.93
RSD/EGP,538.59
PYG/GTQ,337.37
HTG/MRO,594.45
MOP/ZAR,463.94
ETB/CRC,473.03
KHR/BTN,657.49
SDG/CZK,568.66
UZS/GEL,40.15
IQD/BAM,449.05
PHP/SBD,193.42
IRR/PKR,989.32
IRR/KWD,91.73
MUR/HKD,742.15
XBB/XOF,89.99
CAD/UAH,56.58
CAD/MYR,337.85
CZK/IRR,482.39
LVL/WST,478.64
PLN/MUR,961.30
SVC/SGD,513.96
GIP/RSD,971.45
TZS/NGN,484.05
SGD/BSD,163.45
ALL/XPT,927.75
BAM/VEF,315.66
JOD/WST,212.24
LAK/AMD,56.79
DKK/ZMK,599.27
LRD/UGX,10.53
RON/MRO,373.97
PGK/NGN,283.94
SYP/MOP,166.13
VUV/FKP,318.03
NZD/SBD,755.22
BIF/MGA,0.56
GBP/TJS,435.72
UYU/INR,541.77
HUF/ZWL,963.69
KPW/TND,142.73
PHP/CUC,950.63
LTL/SCR,567.96
NOK/CAD,420.30
MUR/AWG,778.39
PHP/MXN,276.12
RSD/GBP,298.02
SRD/TMT,806.36
SDG/XPT,590.84
CAD/IRR,371.96
LRD/UAH,932.41
LSL/EGP,359.47
XCD/NGN,895.71
VUV/SBD,563.12
PEN/JMD,77.92
CRC/XAG,449.31
LTL/IQD,52.48
SBD/XAF,54.54
KPW/COP,173.92
MMK/BZD,666.71
SYP/BZD,148.28
BZD/MKD,260.79
INR/KMF,600.70
AZN/KMF,969.39
INR/SDG,29.62
GYD/XBD,75.09
BOB/NOK,909.48
XAF/FJD,823.19
BGN/BND,773.70
OMR/SVC,986.92
MUR/KPW,89.42
GMD/UYU,620.86
KRW/ILS,796.08
KES/MMK,518.70
BYR/SAR,335.91
KMF/BSD,10.67
NIO/EUR,945.99
KZT/HUF,551.15
XOF/MKD,705.66
BOB/GIP,887.33
TRY/KPW,629.73
AED/BZD,509.30
BYR/NAD,621.41
EEK/BZD,684.83
KZT/TZS,666.86
MDL/GTQ,651.06
BSD/XBC,478.26
CLP/BRL,720.82
DJF/TZS,88.21
SGD/YER,868.71
ZAR/SZL,702.74
LBP/XFU,946.02
TJS/UZS,261.80
AWG/MKD,875.06
YER/GHS,815.41
BSD/XPT,881.94
CDF/KGS,349.93
CRC/AED,598.57
GNF/SEK,390.68
XAU/TZS,703.30
BAM/ZAR,366.64
INR/SLL,474.83
AWG/BZD,32.65
SLL/CUP,603.91
BZD/AFN,282.54
CLP/MXN,311.55
IDR/SVC,563.39
HUF/TOP,377.00
BHD/HRK,227.21
SHP/ZAR,67.25
UYU/BHD,503.32
KWD/YER,501.33
AFN/BAM,348.88
LVL/KMF,286.58
LYD/LVL,36.97
EEK/CLP,638.98
AWG/HTG,639.38
KRW/MKD,915.87
ALL/SGD,302.53
XTS/LAK,378.55
ETB/BWP,596.83
XBC/JPY,188.66
CUC/GHS,734.98
AZN/SHP,904.99
BOB/SAR,284.18
KRW/ERN,143.40
DZD/DZD,359.05
NZD/JPY,921.01
LRD/MXN,703.29
PYG/ANG,453.97
BYR/UGX,660.74
RUB/STN,347.42
STN/SRD,160.47
PYG/KPW,2.36
AED/SRD,520.70
